scientific_name,common_name,meaning,diet,length_m,weight_kg,height_m,locomotion,geological_period,lived_in,behavior_notes,first_discovered,fossil_location,notable_features,intelligence_level,source_link,row_index
Saltriovenator,Saltriovenator,Saltrio hunter,Carnivore,8.0,1000.0,3.0,Bipedal,Early Jurassic,Europe,Theropod dinosaur,2014,Italy,Large early theropod,Medium,https://en.wikipedia.org/wiki/Saltriovenator,978
Lexovisaurus,Lexovisaurus,Lexovii lizard,HERBIVORE,6.0,3500.0,2.0,,LATE JURASSIC,Europe,Stegosaurian dinosaur,1923,England,"Plated dinosaur, medium-sized",Medium,https://en.wikipedia.org/wiki/Lexovisaurus,10755
Gannansaurus,Gannansaurus,Gannan lizard,Herbivore,15.0,12000.0,4.5,Quadrupedal,Late Cretaceous (Santonian–Campanian),Asia (China),Titanosauriform sauropod from southern China,2013,"Nankang District, Jiangxi Province",Poorly known; based on vertebrae and ribs,Low,https://en.wikipedia.org/wiki/Gannansaurus,613
Euoplocephalus,Euoplocephalus,Different lizard,Carnivore,12.0,2000.0,3.5,Bipedal,Late Jurassic,North America,Pack hunter,1877,USA,Large skull,Medium,https://en.wikipedia.org/wiki/Euoplocephalus,109
Thespesius,Thespesius,Thespesius  ,carnivore,7.0 meters,1500.0,3.0,Bipedal,Late Cretaceous,North America,,1890,USA,Medium predator,Medium,https://en.wikipedia.org/wiki/Thespesius,1103
Ambopteryx,Ambopteryx,Both wings,Omnivore,0.7,2.0,0.2,,Late Jurassic,Asia,Theropod dinosaur,2019,China,Small feathered dinosaur,avg,https://en.wikipedia.org/wiki/Ambopteryx,1217
Aoniraptor,Aoniraptor,Aoni raptor,Carnivore,6.0,700.0,2.0,Bipedal,Late Cretaceous (Campanian),South America (Argentina),Megaraptoran theropod with long neural spines,2016,"Huincul Formation, Argentina",Closely related to Gualicho; spine fragments found,Medium,https://en.wikipedia.org/wiki/Aoniraptor,381
Lufengosaurus,Lufengosaurus,Fused lizard,Herbivore,6.0,6000.0,1.7m,Quadrupedal,Late Cretaceous,North America,Armored,1908,Canada,Club tail,Medium,https://en.wikipedia.org/wiki/Lufengosaurus,168
Aletopelta,Aletopelta,Wandering shield,Herbivore,5.0,2000.0,2.0,Quadrupedal,Late Cretaceous (Campanian),"North America (California, USA)",Armored herbivore; likely slow-moving,1987?,"Point Loma Formation, California",Heavy armor plates; ankylosaur with unknown skull,Low,http://en.wikipedia.org/wiki/Aletopelta,351
Koreaceratops,Koreaceratops,Korean horned face,Herbivore,2.0,4544.47,1.0,Bipedal,Late Cretaceous,Asia (Korea),Ceratopsian dinosaur,2010,South Korea,Small frill and beak,Medium,https://en.wikipedia.org/wiki/Koreaceratops,10721
Wellnhoferia,Wellnhoferia,Wellnhofer bird,Omnivore,0.5,2.0,0.2,Bipedal,Jurassic,Europe,Theropod dinosaur,2009,Germany,Small bird-like dinosaur,Unknown,https://en.wikipedia.org/wiki/Wellnhoferia,1168
Comptonatus,Comptonatus,Compton lizard,Herbivore,6.0,2500.0,2.3,Bipedal,Late Jurassic,North America,Theropod dinosaur,1998,,Medium theropod,avg,https://en.wikipedia.org/wiki/Comptonatus,1268
Brachytrachelopan,Brachytrachelopan,La Amarga lizard,Herbivore,10.0,2500.0,3.5,Quadrupedal,Early Cretaceous,Argentina,Neck spines,1991,Argentina,Neck spines,Low,https://en.wikipedia.org/wiki/Brachytrachelopan,51
Citipati,Citipati,Alvarez's lizard,Carnivore,2.0,20.0,0.8,Bipedal,Late Cretaceous,Argentina,Small predator,1991,Argentina,Tiny arms,Medium,https://en.wikipedia.org/wiki/Citipati,70
Jianianhualong,Jianianhualong,Jianianhua dragon,Carnivore,3.0,150.0,1.5,Bipedal,Late Cretaceous,Asia,,2017,China,Medium theropod,Medium,https://en.wikipedia.org/wiki/Jianianhualong,1342
Sarcosaurus,Sarcosaurus woodi,Flesh lizard,Carnivore,,,,Bipedal,Early Jurassic (Sinemurian),England,Early theropod with hollow bones and elongated tail,1921,England,One of the earliest known theropods; fragmentary but significant find,Medium,https://en.wikipedia.org/wiki/Sarcosaurus,247
Conchoraptor,Conchoraptor,Near bird,Carnivore,0.5,0.38,0.25,,Late Jurassic,China,Feathered,c. 2009,China,Feathers,Medium,https://en.wikipedia.org/wiki/Conchoraptor,76
Ornatops,Ornatops,Ornate face,HERBIVORE,5.0,2500.0,2.5,,Late Cretaceous,North America,Ceratopsian dinosaur,2015,USA,Medium ceratopsian,Medium,https://en.wikipedia.org/wiki/Ornatops,1422
Dilong (genus also refers to a mythological Earth Dragon),Dilong,Dilong (Earth dragon),Carnivore,2.0,50.0,1.0,BIPEDAL,Early Cretaceous,Asia,,2004,,Small tyrannosauroid,Small,https://en.wikipedia.org/wiki/Dilong,1277
Zapsalis,Zapsalis abradens,Polished shears,Carnivore,2.0,25.0,0.8,,Late Cretaceous,North America,Dromaeosaurid known from teeth,1876,"Montana, USA",Distinctive curved serrated teeth,med,not available,300
Epidexipteryx,Epidexipteryx,display feather,carnivore,~0.4,0.2,0.3,Bipedal,Late Jurassic (Oxfordian),Asia (China),Scansoriopterygid with long tail feathers,2008,"Tiaojishan Formation, China",Feathers for display; lacked flight feathers,High,https://en.wikipedia.org/wiki/Epidexipteryx,585
Tuebingosaurus,Tuebingosaurus,Tuebingen lizard,Herbivore,10.0,7000.0,4.0,Quadrupedal,Jurassic,Europe,Sauropod dinosaur,2012,,Large sauropod,med,https://en.wikipedia.org/wiki/Tuebingosaurus,1511
Kamuysaurus,Kamuysaurus,"Kamuy lizard (""Kamuy"" means spirit in Ainu)",HERBIVORE,8.0,4000.0,3.0,Quadrupedal,Late Cretaceous,Asia (Japan),Hadrosaurid dinosaur,2019,Japan,Well-preserved skeleton,Medium,https://en.wikipedia.org/wiki/Kamuysaurus,707
Giraffatitan,Giraffatitan,Vineyard lizard,HERBIVORE,23.0,40000.0,12.0,Quadrupedal,Late Cretaceous,France,Armored,1989,France,Bony armor,Low,https://en.wikipedia.org/wiki/Giraffatitan,123
Koparion,Koparion,Cutting tooth,Carnivore,1.0,2.0,0.3,Bipedal,Late? Late Jurassic,North America,Tiny theropod,1991,USA,"Small teeth, fast runner",Medium,https://en.wikipedia.org/wiki/Koparion,720
Narindasaurus,Narindasaurus,Narinda lizard,Herbivore,about 8.0m,7000.0,,Quadripedal,Late Jurassic,Madagascar,Sauropod dinosaur,2020,Madagascar,Large sauropod,Large,https://en.wikipedia.org/wiki/Narindasaurus,1405
Qingxiusaurus,Qingxiusaurus,Qingxiu lizard,Herbivore,8.0,3500.0,3.0,,Late Cretaceous,Asia,Sauropod dinosaur,2008,China,Large sauropod,Medium,https://en.wikipedia.org/wiki/Qingxiusaurus,958
Geminiraptor,Geminiraptor,twin thief,Carnivore,1.5,10.0,0.8,Bipedal,Early Cretaceous (Barremian–Aptian),"North America (Utah, USA)",Troodontid with long legs and large braincase,2010,"Cedar Mountain Formation, Utah",Shows early troodontid evolution in North America,,http//invalid-url,615
Yanbeilong,Yanbeilong,Yanbei dragon,Herbivore,,7000.0,4.0,,Cretaceous,Asia,Sauropod dinosaur,2020,China,Large sauropod,Large,not available,11531
Aorun,Aorun,Aorun (Chinese dragon),Carnivore,1.0,3.0,0.5,Bipedal,Jurassic (Oxfordian),Asia (China),Small basal coelurosaur; juvenile specimen,2013,"Shishugou Formation, Xinjiang, China",One of the earliest known coelurosaurs,Unknown,https://en.wikipedia.org/wiki/Aorun,382
Bravoceratops,Bravoceratops,wild horned face,HERBIVORE,6.0,2000.0,2.5,Quadrupedal,Late Cretaceous (Campanian),"North America (Texas, USA)",Chasmosaurine ceratopsid; only partial skull found,c. 2013,"Javelina Formation, Texas",Large parietal and frill elements suggest new genus,Medium,https://en.wikipedia.org/wiki/Bravoceratops,451
Chirostenotes,Chirostenotes,Near lizard,Herbivore,2.0,50.0,1.0,Bipedal,Early Jurassic,USA,Small herbivore,1818,,Small body,Medium,https://en.wikipedia.org/wiki/Chirostenotes,67
Yulong,Yulong mini,Mini jade dragon,Omnivore,0.5,1.0,0.3,Bipedal,Late Cretaceous,China,Small oviraptorid theropod,2013,"Henan, China","Tiny size, multiple per clutch",Medium,https://en.wikipedia.org/wiki/Yulong,289
Hylaeosaurus,Hylaeosaurus,La Amarga lizard,HERBIVORE,10.0,2500.0,3.5,Quadrupedal,Early Cretaceous,Argentina,Neck spines...,1991,Argentina,Neck spines,Low,https://en.wikipedia.org/wiki/Hylaeosaurus,141
Tarchia,Tarchia,Tarchia  ,HERBIVORE,,2500.0,2.5,Quadrupedal,Late Cretaceous,Asia,Ankylosaurid dinosaur,1977,Mongolia,Armored dinosaur,medium,https://en.wikipedia.org/wiki/Tarchia,1075
Phyllodon,Phyllodon,Leaf tooth,HERBIVORE,1.0,10.0,0.5,Bipedal,Jurassic,Europe,Ornithopod dinosaur,1923,Denmark,Small herbivorous dinosaur,Unknown,https://en.wikipedia.org/wiki/Phyllodon,914
Hamititan,Hamititan,Hami titan,Herbivore,20.0,20000.0,6.5,Quadrupedal,Late Cretaceous,Asia,Sauropod dinosaur,2012,China,Large sauropod,Large,https://en.wikipedia.org/wiki/Hamititan,1313
Brohisaurus,Brohisaurus,Brohi lizard,Herbivore,15.0,12000.0,5.0,Quadrupedal,Late Jurassic (Tithonian),Asia (Pakistan),BASAL TITANOSAURIFORM; OLDEST KNOWN FROM SOUTH ASIA,2006,"Saman Suk Formation, Balochistan",Vertebrae and limb fragments; uncertain placement,Low,https://en.wikipedia.org/wiki/Brohisaurus,453
Microceratus,Microceratus,Near horned face,Herbivore,6.0,2000.0,2.0,Quadrupedal,Late Cretaceous,Canada,Horned face  ,1912,Canada,Large frill,Low,https://en.wikipedia.org/wiki/Microceratus,185
Neosodon,Neosodon,New tooth,Herbivore,10.0,10000.0,4.0,Quadrupedal,Late Jurassic,Europe,Sauropod dinosaur,1870,France,Large sauropod with limited fossils,Unknown,https://en.wikipedia.org/wiki/Neosodon,842
Borealopelta,Borealopelta,Northern shield,Herbivore,5.5,1500.0,2.0,Quadrupedal,Late Cretaceous,North America,Ankylosaur dinosaur,2017,Canada,Armored dinosaur,Medium,https://en.wikipedia.org/wiki/Borealopelta,1246
Xingtianosaurus,Xingtianosaurus,Xingtian lizard,carnivore,6.0,400.0,2.0,Bipedal,Jurassic,Asia,Theropod dinosaur,2020?,China,Medium predator,Medium,https://en.wikipedia.org/wiki/Xingtianosaurus,1527
Elaltitan,Elaltitan,giant from El Algarrobo,Herbivore,21.0,15000.0,5.0,Quadrupedal,Cretaceous (Campanian),South America (Argentina),Titanosaurian sauropod with long limbs,2012,"Allen Formation, Argentina",Named from locality El Algarrobo,Low,https://en.wikipedia.org/wiki/Elaltitan,567
Raptorex,Raptorex,King thief,Carnivore,6.0,700.0,2.0,Bipedal,Late Cretaceous,Asia,Tyrannosauroid dinosaur,2009,China,Small tyrannosaur,Medium,,965
Dyoplosaurus,Dyoplosaurus,Double-armored lizard,Herbivore,4.5,1500.0kg,1.2,Quadrupedal,Late Cretaceous,Canada,Slow-moving; tail used for defense,1924,"Dinosaur Park Formation, Alberta, Canada",Clubbed tail; heavy body armor,Low,https://en.wikipedia.org/wiki/Dyoplosaurus,316
Cryptosaurus,Cryptosaurus,hidden lizard,Herbivore,,,, Unknown,Late Jurassic (Oxfordian),Europe (England),KNOWN ONLY FROM A FEMUR; POSSIBLY IGUANODONTIAN,1869,"Cambridge Greensand, England",Possibly a nomen dubium due to limited material,Unknown,https://en.wikipedia.org/wiki/Cryptosaurus,518
Lingyuanosaurus,Lingyuanosaurus,Lingyuan lizard,,7.0,3500.0,2.5,BIPEDAL,Late Jurassic,Asia,Ornithischian dinosaur,2009,China,Medium ornithischian,Medium,https://en.wikipedia.org/wiki/Lingyuanosaurus,1370
Anzu,Anzu,feathered demon,,3.5,200.0,1.8,Bipedal,Late Cretaceous (Maastrichtian),"North America (South Dakota, USA)",Oviraptorosaur with crest and claws,2014,"Hell Creek Formation, South Dakota","Crested head, long arms, birdlike body",High,https://en.wikipedia.org/wiki/Anzu_wyliei,380
Barrosasaurus,Barrosasaurus,Barrosa lizard,Herbivore,15.0,10000.0,5.0, Quadrupedal,Late Cretaceous (Turonian–Coniacian),South America (Argentina),Titanosaur sauropod discovered in Patagonia,01/01/2009,"Sierra Barrosa, Neuquén Province",Known from dorsal vertebrae; typical titanosaur anatomy,Low,https://en.wikipedia.org/wiki/Barrosasaurus,425
Unescoceratops,Unescoceratops,UNESCO horned face,Herbivore,2.0,150.0,0.5,,Late Cretaceous,North America,Ceratopsian dinosaur,2013,Canada,Small horned dinosaur,Small,https://en.wikipedia.org/wiki/Unescoceratops,1142
Gobiceratops,Gobiceratops,Gobi horned face,Herbivore,1.0,10.0,0.6,Quadrupedal,Late Cretaceous (Cenomanian–Turonian),Asia (Mongolia),Basal ceratopsian; juvenile specimen found,2008,"Baynshiree Svita, Mongolia",Small size suggests early ceratopsian diversity,Low,https://en.wikipedia.org/wiki/Gobiceratops,626
Tyrannotitan,Tyrannotitan,Tyrant titan,Carnivore,12.0,7000.0,3.8,Bipedal,Early Cretaceous ,South America,Theropod dinosaur,2011,Argentina,Large theropod,Large,https://en.wikipedia.org/wiki/Tyrannotitan,1137
Angolatitan,Angolatitan,giant from Angola,Herbivore,13.0,5000.0,5.0,Quadrupedal,Late Cretaceous (Cenomanian),Africa (Angola),Early titanosauriform; first Angolan dinosaur,2011,"Itombe Formation, Angola",Long neck; basal traits among titanosaurs,Low,https://en.wikipedia.org/wiki/Angolatitan,999999
Alocodon,Alocodon,furrow tooth,Herbivore,1.2,10.0,0.5,Bipedal,Late Jurassic or Early Cretaceous (uncertain),Europe (Portugal or UK),Possibly small ornithopod or basal ceratopsian,1973,Lourinhã or Wealden formations (disputed),Only teeth found; taxonomic status uncertain,Unknown,https://en.wikipedia.org/wiki/Alocodon,354
Kayentavenator,Kayentavenator,Kayenta hunter,Carnivore,4.0,200.0,1.2,Bipedal,Early Jurassic,North America,,1998,USA,"Light build, sharp claws",Medium,https://en.wikipedia.org/wiki/Kayentavenator,711
Maiasaura,Maiasaura,Vineyard lizard,Herbivore,9.0,3000.0,3.0,Quadrupedal,Late Cretaceous,France,Armored,1989,France,Bony armor,Low,https://en.wikipedia.org/wiki/Maiasaura,173
Udelartitan,Udelartitan,Udelar titan,Herbivore,30.0,35000.0,7.0,,Cretaceous,South America,Sauropod dinosaur,2021,Argentina,Huge sauropod,Large,https://en.wikipedia.org/wiki/Udelartitan,999999
Anatosaurus,Anatosaurus,duck lizard,Herbivore,10.0,approx 4000,3.5,Quadrupedal,late cretaceous (maastrichtian),North America (USA),Hadrosaurid with broad du...,1942 (now synonymized with Edmontosaurus),"Hell Creek Formation, USA",Broad flat snout; toothless beak,Medium,https://en.wikipedia.org/wiki/Anatosaurus,367
Vespersaurus,Vespersaurus,Vesper lizard,Carnivore,2.5,60.0,1.0,Bipedal ,Cretaceous,South America,Theropod dinosaur,2019,Argentina,Small predator,Small,https://en.wikipedia.org/wiki/Vespersaurus,1521
Thecocoelurus,Thecocoelurus,Swollen hollow lizard  ,Carnivore,3.5,50.0,1.2,Bipedal,Late Jurassic,Europe,Theropod dinosaur,1887,UK,Small predator,Medium,https://en.wikipedia.org/wiki/Thecocoelurus,1096
Microvenator,Microvenator,Small hunter,Carnivore,2.0,50.0,1.0,Bipedal,Late Cretaceous,North America,Theropod dinosaur,1938,USA,Small predatory dinosaur,Medium,https://en.wikipedia.org/wiki/Microvenator,10809
Kaatedocus,Kaatedocus,Kaate beam / Kaate beam dragon,Herbivore,,15000.0,4.5,Quadrupedal,Late Jurassic,Europe,Well-preserved diplodocid sauropod,2005,Norway,Long neck and tail,,https://en.wikipedia.org/wiki/Kaatedocus,704
Ahshislepelta,Ahshislepelta,"Ah-shi-sle-pelta (Navajo for ""surface"")",Herbivore,4.0,600.0,1.5,Quadrupedal,Late Cretaceous,"New Mexico, USA",Ankylosaur; rare with partial armor,2005,"Pinenut Formation, New Mexico",Partial armored plates; nodosaurid traits,low,https://en.wikipedia.org/wiki/Ahshislepelta,339
Drinker,Drinker,for Edward Drinker Cope,HERBIVORE,1.0,20.0,0.6,Bipedal,Late Jurassic (Kimmeridgian),"North America (Wyoming, USA)",Hypsilophodontid with long legs and small size,1990?,"Morrison Formation, Wyoming","Fast, agile herbivore; named after paleontologist",Medium,http//invalid-url,551
Probrachylophosaurus,Probrachylophosaurus,Before short crest lizard,Herbivore,7.0,approx 5500,3.5,Bipedal,Late Cretaceous,North America,Hadrosaur dinosaur,2019,USA,Large hadrosaur,Large ,https://en.wikipedia.org/wiki/Probrachylophosaurus,1440
Dysganus,Dysganus,bad jaw,Herbivore,,,,Bipedal (?),Late Cretaceous (Campanian),"North America (Montana, USA)",Known only from teeth; possibly hadrosaurid,1876,"Judith River Formation, Montana",Nomen dubium due to lack of diagnostic material,Unknown,https://en.wikipedia.org/wiki/Dysganus,560
Yunyangosaurus,Yunyangosaurus,Yunyang lizard,carnivore,7.0,700.0,2.5,BIPEDAL,Cretaceous,Asia,Theropod dinosaur,2020,China,Medium predator,Medium,https://en.wikipedia.org/wiki/Yunyangosaurus,1537
Lusotitan,Lusotitan,Alvarez's lizard,Carnivore,2.0,20.0,0.8,Bipedal,Late Cretaceous,Argentina,,1991,Argentina,Tiny arms,Medium,https://en.wikipedia.org/wiki/Lusotitan,170
Pycnonemosaurus,Pycnonemosaurus,Dense southern lizard,Carnivore,7.0,2500.0,2.5,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2002,Brazil,Large predator,Medium,https://en.wikipedia.org/wiki/Pycnonemosaurus,955
REGNOSAURUS ,Regnosaurus,King lizard,Herbivore,6.0,400.0,1.5,Bipedal,Early Cretaceous,Europe,Ornithopod dinosaur,1910,England,Medium herbivore,Medium,https://en.wikipedia.org/wiki/Regnosaurus,967
Richardoestesia,Richardoestesia,Named after Richard Estes,Carnivore,3.0,60.0,1.2,Bipedal,Late Cretaceous,"Montana, USA",Distinctive serrated teeth,1983,Northern USA,"Slender, finely serrated teeth",Medium,not available,244
Baryonyx,Baryonyx,Almond tooth,Herbivore,about 9.5m,1700.0,N/A,Quadrupedal,Middle Jurassic,Argentina,Basal sauropod,1947,,Teeth shape,Low,https://en.wikipedia.org/wiki/Baryonyx,44
Talarurus,Talarurus plicatospineus,Wicker tail,Herbivore,,,1.5,Quadrupedal,Late Cretaceous,Mongolia,Heavily armored ankylosaurid with tail club,1952,Gobi Desert Mongolia,Deep snout and tail club,Low,https://en.wikipedia.org/wiki/Talarurus,271
Ugrunaaluk,Ugrunaaluk,Ancient grazer (Iñupiat),Herbivore,9.0,approx 3000,3.0,Quadrupedal,Late Cretaceous,"Northern Alaska, USA",May have lived in herds; adapted to polar climate,2009,"Alaska, USA",Adapted to darkness and cold; polar hadrosaurid,Low,https://en.wikipedia.org/wiki/Ugrunaaluk,274
Dryptosauroides,Dryptosauroides,Dryptosaurus-like,Carnivore,,800.0,2.2,Bipedal,Late Cretaceous (Maastrichtian),Asia (India),Known from limited limb material; possibly abelisaurid,1933,"Lameta Formation, India",Considered a dubious genus due to fragmentary fossils,Unknown,en.wikipedia.org/wiki/Dryptosauroides,554
Mercuriceratops,Mercuriceratops,Mercury horned face,HERBIVORE,6.0,2000.0,2.5,Bipedal,Late Cretaceous,North America,Ceratopsian dinosaur,2014?,USA,Known for unique skull ornamentation,Unknown,http//invalid-url,802
Pectinodon,Pectinodon,Comb tooth,Carnivore,3.5,90.0,1.2,Bipedal,Late Cretaceous,North America,Troodontid theropod,1970,USA,Small bird-like predator,Unknown,https://en.wikipedia.org/wiki/Pectinodon,901
Ziapelta,Ziapelta,Zia shield,Herbivore,5.0,2000.0,1.5,Quadrupedal,Late Cretaceous,North America,Ankylosaur dinosaur,2014,USA,Armored dinosaur,Medium,https://en.wikipedia.org/wiki/Ziapelta,1200
Tatankaceratops,Tatankaceratops,Tatanka horned face  ,Herbivore,2.5,150.0,1.0,Quadrupedal,Late Cretaceous,North America,Ceratopsian dinosaur,2007,USA,Small ceratopsian,Medium,https://en.wikipedia.org/wiki/Tatankaceratops,1078
Sinopliosaurus,Sinopliosaurus,Chinese Pliosaurus  ,Carnivore,5.0,200.0,1.5,Bipedal,Jurassic,Asia,Spinosaurid dinosaur,1944,China,Possible spinosaurid,Unknown,https://en.wikipedia.org/wiki/Sinopliosaurus,1031
Gargoyleosaurus,Gargoyleosaurus,Near horned face,Herbivore,,2000.0,2.0,Quadrupedal,Late Cretaceous,Canada,,1912,Canada,Large frill,Low,https://en.wikipedia.org/wiki/Gargoyleosaurus,115
Ohmdenosaurus,Ohmdenosaurus,Ohmden lizard,Herbivore,6.0,"2,000 kg",2.0,Bipedal,Jurassic,Europe (Germany),Prosauropod dinosaur,1932?,Germany,Early herbivorous dinosaur,Unknown,https://en.wikipedia.org/wiki/Ohmdenosaurus,858
Saurornitholestes,Saurornitholestes,Lizard bird thief,Carnivore,2.0,50.0kg,0.9,Bi-pedal,Late Cretaceous,North America,Troodontid dinosaur,1924,USA,Small agile predator,Medium,https://en.wikipedia.org/wiki/Saurornitholestes,993
Panamericansaurus,Panamericansaurus,Panamerican lizard,,8.0,,3.5,Quadrupedal,Late Cretaceous,South America,Titanosaur sauropod,2015,Argentina,Medium-large titanosaur,,https://en.wikipedia.org/wiki/Panamericansaurus,889
Malawisaurus,Malawisaurus,Near horned face,Herbivore,6.0,2000.0,2.0,Quadrupedal,Late Cretaceous,Canada,Horned face,1912,Canada,Large frill,avg,https://en.wikipedia.org/wiki/Malawisaurus,175
Gigantspinosaurus,Gigantspinosaurus,giant-spined lizard,HERBIVORE,4.2,700.0,2.0,Quadrupedal,Late Jurassic (Oxfordian),Asia (China),Stegosaur with extremely large shoulder spines,1992,"Upper Shaximiao Formation, Sichuan",Unusual defensive adaptation with giant spikes,Low,https://en.wikipedia.org/wiki/Gigantspinosaurus,-621
Willinakaqe,Willinakaqe,Willinakaqe warrior,Omnivore,3.0,100.0,1.0,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2011,Argentina,Small theropod,Small,https://en.wikipedia.org/wiki/Willinakaqe,1169
Banji,Banji,striped (from Mandarin),Carnivore,0.6,1.5,0.4,Bipedal,Late Cretaceous (Maastrichtian),Asia (China),Small oviraptorid with crest,2010,"Nanxiong Formation, Jiangxi, China",Slender jaws; closely related to Citipati,High,,422
